tpke11,1,0
STnc890,1,0
STnc3200,0,0
STnc3210,0,0
STnc1010,1,0
STnc3220,0,0
STnc3090,0,0
STnc4160,0,0
DapZ,1,0
STnc3230,0,0
STnc470,1,0
STnc4170,0,0
STnc3240,0,0
STnc4180,0,0
SroA,0,0
SgrS,1,0
STnc1500,0,0
tp2,0,0
STnc4190,0,0
STnc3250,0,0
STnc1510,0,0
STnc3100,0,0
STnc3110,1,0
t44,0,0
sRNA1,0,0
STnc920,0,0
IsrA,0,0
STnc1030,0,0
STnc1040,0,0
STnc3270,0,0
STnc1700,0,0
STnc3280,0,0
STnc4150,0,0
STnc1060,1,0
SraA,0,0
STnc930,1,0
STnc3130,0,0
ChiX,1,0
STnc950,0,0
STnc480,1,0
STnc1870,0,0
STnc3180,0,0
STnc070,0,0
sRNA10,1,0
STnc3550,0,0
SroC,1,0
STnc3290,0,0
STnc3300,0,0
sRNA9,0,0
RybD,1,0
STnc3340,0,0
STnc980,1,0
RybA,0,0
STnc1200,0,0
STnc1710,0,0
RybB,1,0
STnc490,0,0
STnc3310,0,0
STnc3330,0,0
STnc3350,0,0
STnc4200,0,0
IsrB‑2,0,0
IsrB‑1,0,0
STnc1080,1,0
STnc3390,0,0
STnc1880,0,0
STnc3400,0,0
STnc500,1,0
STnc3040,0,0
STnc840,1,0
SraB,0,0
STnc850,1,0
STnc1090,0,0
STnc3410,0,0
STnc150,0,0
IsrC,0,0
STnc3420,0,0
STnc520,1,0
STnc1760,0,0
STnc1210,1,0
STnc1990,0,0
STnc3430,1,0
IsrD,0,0
STnc3440,0,0
RyhB‑2,1,0
STnc1480,1,0
STnc1640,1,0
STnc2010,1,0
STnc3570,0,0
STnc3460,0,0
STnc4210,0,0
STnc540,1,0
RprA,1,0
RydB,0,0
STnc1220,0,0
STnc4220,0,0
STnc3500,0,0
STnc3510,1,0
STnc3480,0,0
MgrR,1,0
STnc2170,1,0
STnc3530,1,0
IsrF,0,0
STnc3540,0,0
STnc1110,1,0
RyjB,1,0
RydC,1,0
MicC,1,0
FnrS,1,0
STnc2030,1,0
STnc1270,0,0
STnc3580,0,0
STnc3600,0,0
STnc2040,1,0
STnc3610,0,0
STnc3620,0,0
STnc3630,0,0
STnc1130,1,0
STnc3640,0,0
SraC,0,0
SdsR,1,0
STnc1690,1,0
STnc200,1,0
RyeF,1,0
STnc2180,0,0
DsrA,1,0
RseX,0,0
STnc1280,0,0
STnc1290,1,0
STnc1300,1,0
STnc1310,0,0
STnc2050,0,0
STnc3680,0,0
STnc1530,0,0
STnc3700,0,0
STnc1650,1,0
STnc700,0,0
STnc1320,0,0
RyeC,1,0
STnc1150,1,0
CyaR,1,0
STnc740,1,0
STnc1890,0,0
STnc3720,0,0
STnc1330,0,0
STnc3010,0,0
STnc1340,0,0
STnc1540,0,0
IsrG,0,0
MicF,1,0
IsrH_1_2,0,0
STnc1550,0,0
STnc1560,1,0
STnc3730,0,0
STnc3740,1,0
STnc3750,1,0
tpke70,0,0
STnc3760,0,0
STnc2070,0,0
RyfA,1,0
GlmY,1,0
STnc1380,0,0
STnc3770,0,0
STnc1920,1,0
IsrI,1,0
STnc2080,1,0
IsrJ,0,0
STnc1160,0,0
IsrK,1,0
STnc1390,1,0
STnc1400,0,0
STnc3160,0,0
STnc2090,1,0
sRNA3,0,0
STnc3790,0,0
STnc3800,0,0
STnc4230,1,0
IsrL,1,0
STnc3070,0,0
IsrM,0,0
IsrN,0,0
STnc3080,0,0
MicA,1,0
C0664,0,0
STnc4240,0,0
STnc3020,0,0
STnc1410,0,0
InvR,1,0
STnc3140,0,0
CsrB,1,0
GcvB,1,0
STnc3830,0,0
OmrA,1,0
OmrB,1,0
STnc290,1,0
IsrO,0,0
SsrS,1,0
RygC,1,0
STnc3030,0,0
STnc750,1,0
STnc3150,0,0
STnc3850,0,0
STnc3860,0,0
STnc3870,0,0
STnc3880,0,0
STnc1170,1,0
STnc3890,0,0
STnc1820,0,0
STnc3920,0,0
SroG,1,0
STnc1420,0,0
RygD,1,0
SraF,1,0
STnc310,0,0
SraG,0,0
STnc3950,0,0
STnc1660,0,0
STnc3960,0,0
STnc3970,0,0
ArcZ,1,0
STnc3060,1,0
STnc3050,0,0
STnc2100,0,0
STnc3990,0,0
STnc1670,1,0
STnc4000,0,0
STnc1590,0,0
STnc340,0,0
STnc760,0,0
STnc4010,0,0
RyhB‑1,1,0
STnc1830,0,0
sRNA12,0,0
STnc770,1,0
STnc350,0,0
STnc4020,0,0
STnc710,1,0
STnc1430,0,0
STnc780,1,0
STnc380,0,0
AmgR,0,0
STnc4040,0,0
IstR‑1_2,1,0
STnc2110,1,0
STnc4250,1,0
STnc3170,0,0
STnc400,1,0
STnc1860,0,0
GlmZ,1,0
STnc790,1,0
Spf,1,0
CsrC,1,0
STnc800,0,0
STnc3120,0,0
STnc870,1,0
IsrP,0,0
STnc4070,0,0
STnc4080,0,0
STnc1600,0,0
OxyS,1,0
STnc3490,0,0
STnc1460,1,0
STnc4100,0,0
STnc810,1,0
STnc2130,1,0
STnc880,0,0
SraL,0,0
STnc630,0,0
STnc1180,1,0
STnc4110,0,0
STnc440,1,0
STnc3000,0,0
STnc4120,1,0
STnc1740,0,0
STnc2160,1,0
IsrQ,0,0
STnc4260,0,0
STnc4130,0,0
STnc1470,0,0
STnc4140,0,0
